Head Writer,Director,Lead,Genre,Run Time (Minutes),Movie ID,Ranking,Movie Name,Release Year,Rating,Certificate,Tagline,Budget,Box Office Sales
Stephen King,Frank Darabont,Tim Robbins,Drama,142,MOV_001,1,The Shawshank Redemption,1994,9.3,R,Fear can hold you prisoner. Hope can set you free.,25000000,28884504
Mario Puzo,Francis Ford Coppola,Marlon Brando,Crime,175,MOV_002,2,The Godfather,1972,9.2,R,An offer you can't refuse.,6000000,250341816
Jonathan Nolan,Christopher Nolan,Christian Bale,Action,152,MOV_003,3,The Dark Knight,2008,9,PG-13,Why So Serious?,185000000,1006234167
Francis Ford Coppola,Francis Ford Coppola,Al Pacino,Crime,202,MOV_004,4,The Godfather Part II,1974,9,R,All the power on earth can't change destiny.,13000000,47961919
Reginald Rose,Sidney Lumet,Henry Fonda,Crime,96,MOV_005,5,12 Angry Men,1957,9,Approved,Life Is In Their Hands -- Death Is On Their Minds!,350000,955
Thomas Keneally,Steven Spielberg,Liam Neeson,Biography,195,MOV_006,6,Schindler's List,1993,9,R,"Whoever saves one life, saves the world entire.",22000000,322161245
J.R.R. Tolkien,Peter Jackson,Elijah Wood,Action,201,MOV_007,7,The Lord of the Rings: The Return of the King,2003,9,PG-13,The eye of the enemy is moving.,94000000,1146457748
Quentin Tarantino,Quentin Tarantino,John Travolta,Crime,154,MOV_008,8,Pulp Fiction,1994,8.9,R,Girls like me don't make invitations like this to just anyone!,8000000,213928762
J.R.R. Tolkien,Peter Jackson,Elijah Wood,Action,178,MOV_009,9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,The Legend Comes to Life,93000000,898204420
Luciano Vincenzoni,Sergio Leone,Clint Eastwood,Adventure,178,MOV_010,10,"The Good, the Bad and the Ugly",1966,8.8,Approved,They formed an alliance of hate to steal a fortune in dead man's gold,1200000,25253887
Winston Groom,Robert Zemeckis,Tom Hanks,Drama,142,MOV_011,11,Forrest Gump,1994,8.8,PG-13,The story of a lifetime.,55000000,678226465
Chuck Palahniuk,David Fincher,Brad Pitt,Drama,139,MOV_012,12,Fight Club,1999,8.8,R,How much can you know about yourself if you've never been in a fight?,63000000,101209702
J.R.R. Tolkien,Peter Jackson,Elijah Wood,Action,179,MOV_013,13,The Lord of the Rings: The Two Towers,2002,8.8,PG-13,A New Power Is Rising.,94000000,947944270
Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Action,148,MOV_014,14,Inception,2010,8.8,PG-13,Your mind is the scene of the crime,160000000,836848102
Leigh Brackett,Irvin Kershner,Mark Hamill,Action,124,MOV_015,15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,PG,The Adventure Continues...,18000000,538375067
Lilly Wachowski,Lana Wachowski,Keanu Reeves,Action,136,MOV_016,16,The Matrix,1999,8.7,R,Free your mind,63000000,467222728
