Customer ID,Parent Product,Claim Date,Documentation Date,Status,Claim Category,Claim Tracking Number,Vendor ID,Storage Fee,Insurance Amount,Holding Fee,Total Acquisition Cost
J12548692,TREE_48075,2005-05-28,2005-05-29,COMPLETE,S-CAN,24893288,16948,76,984,0,43560
J12548697,TREE_48075,2005-07-01,2005-07-01,COMPLETE,S-CAN,24895754,16816,112,424,0,16564
J12548704,TREE_48075,2005-06-24,2005-06-24,COMPLETE,S-CAN,25032710,16816,84,1196,0,21400
J12548708,TREE_48075,2005-05-17,2005-05-22,COMPLETE,S-CAN,24799902,148416,60,252,0,53120
J12548710,TREE_48075,2005-06-01,2005-06-02,COMPLETE,S-CAN,24796324,145848,64,48,0,32880
J12548721,TREE_48075,2005-03-26,2005-03-28,COMPLETE,S-CAN,24641220,6388,84,556,0,18280
J12548723,TREE_48075,2005-04-25,2005-05-03,COMPLETE,S-CAN,24643892,35500,136,1216,0,13488
J12548725,TREE_48075,2005-05-23,2005-05-24,COMPLETE,S-CAN,24643934,149088,76,1348,0,84600
J12548727,TREE_48075,2005-05-21,2005-05-26,COMPLETE,S-CAN,24648538,149296,44,1236,0,16216
J12548732,TREE_48075,2005-07-16,2005-07-16,COMPLETE,S-CAN,25031154,148712,68,884,0,63120
J12548741,TREE_48075,2005-05-14,2005-05-19,COMPLETE,S-CAN,24896468,216632,112,476,0,77960
J12548759,TREE_48075,2005-07-02,2005-07-06,COMPLETE,S-CAN,24790594,4152,76,1116,0,13192
J12548764,TREE_48075,2005-04-13,2005-04-21,COMPLETE,S-CAN,24642668,19376,16,280,0,24040
J12548766,TREE_48075,2005-04-06,2005-04-07,COMPLETE,S-CAN,24648240,8760,36,880,0,78720
J12548771,TREE_48075,2005-03-21,2005-03-22,COMPLETE,S-CAN,24642008,25900,44,988,0,11160
J12548774,TREE_48075,2005-03-25,2005-03-27,COMPLETE,S-CAN,24645418,147708,4,636,0,98200
J12548776,TREE_48075,2005-05-24,2005-05-25,COMPLETE,S-CAN,25031250,145312,72,360,0,11104
J12548782,TREE_48075,2005-05-02,2005-05-02,COMPLETE,S-CAN,24828250,147652,80,820,0,57000
J12548796,TREE_48075,2005-08-07,2005-08-07,COMPLETE,S-CAN,25029398,57844,16,1356,0,14280
J12548818,TREE_48075,2005-05-25,2005-05-30,COMPLETE,S-CAN,24828706,2236,20,620,0,11088
J12548828,TREE_48075,2005-06-04,2005-06-09,COMPLETE,S-CAN,24674960,149472,28,1056,0,16196
J12548831,TREE_48075,2005-05-15,2005-05-16,COMPLETE,S-CAN,24642918,147828,56,648,0,33280
J12548836,TREE_48075,2005-05-26,2005-05-26,COMPLETE,S-CAN,24648738,1132,44,828,0,92720
J12548837,TREE_48075,2005-05-26,2005-05-27,COMPLETE,S-CAN,24648740,57844,40,108,0,68160
J12548838,TREE_48075,2005-05-26,2005-05-28,COMPLETE,S-CAN,24648742,27004,12,896,0,51080
J12548841,TREE_48075,2005-04-07,2005-04-09,COMPLETE,S-CAN,24642444,21512,12,1416,0,15512
J12548847,TREE_48075,2005-07-07,2005-07-13,COMPLETE,S-CAN,24826394,145768,76,448,0,52680
J12548851,TREE_48075,2005-05-20,2005-05-20,COMPLETE,S-CAN,24827686,149472,40,416,0,10688
J12548861,TREE_48075,2005-06-02,2005-06-03,COMPLETE,S-CAN,25003272,21512,4,388,0,10156
J12548879,TREE_48075,2005-04-30,2005-05-01,COMPLETE,S-CAN,24798260,146588,4,1476,0,16104
J12548882,TREE_48075,2005-06-19,2005-06-29,COMPLETE,S-CAN,25026120,148420,76,448,0,13664
J12548884,TREE_48075,2005-05-31,2005-05-31,COMPLETE,S-CAN,25031262,147608,140,1160,0,4400
J12548893,TREE_48075,2005-06-12,2005-06-17,COMPLETE,S-CAN,24643582,26872,36,1356,0,14264
J12548898,TREE_48075,2005-04-14,2005-04-15,COMPLETE,S-CAN,24646856,26460,40,692,0,95920
J12548906,TREE_48075,2005-06-08,2005-06-13,COMPLETE,S-CAN,24644974,35236,136,400,0,85640
J12548909,TREE_48075,2005-06-18,2005-06-23,COMPLETE,S-CAN,24825754,1824,12,96,0,10760
J12548936,TREE_48075,2005-05-02,2005-05-07,COMPLETE,S-CAN,24643700,148608,108,1388,0,14560
J12548965,TREE_48075,2005-07-05,2005-07-06,COMPLETE,S-CAN,24795792,4284,72,336,0,16360
J12548969,TREE_48075,2005-07-17,2005-07-17,COMPLETE,S-CAN,25033356,6388,24,156,0,86200
J12548975,TREE_48075,2005-03-16,2005-03-18,COMPLETE,S-CAN,24646600,8820,104,572,0,10996
J12548977,TREE_48075,2005-05-22,2005-05-24,COMPLETE,S-CAN,25025648,146588,84,524,0,12736
J12548986,TREE_48075,2005-07-05,2005-07-11,COMPLETE,S-CAN,24821990,21512,48,1212,0,76960
J12548994,TREE_48075,2005-03-28,2005-04-07,COMPLETE,S-CAN,24674234,204852,48,484,0,11676
J12549002,TREE_48075,2005-04-30,2005-05-05,COMPLETE,S-CAN,24644896,35236,56,1400,0,14856
J12549010,TREE_48075,2005-05-29,2005-05-31,COMPLETE,S-CAN,24644548,145288,100,96,0,12916
J12549012,TREE_48075,2005-06-03,2005-06-10,COMPLETE,S-CAN,24644568,35236,84,1272,0,13816
J12549018,TREE_48075,2005-05-11,2005-05-16,COMPLETE,S-CAN,24828478,145312,84,1204,0,13880
J12549019,TREE_48075,2005-04-17,2005-04-17,COMPLETE,S-CAN,24827820,29052,88,108,0,72640
J12549036,TREE_48075,2005-04-04,2005-04-14,COMPLETE,S-CAN,24674248,204852,16,748,0,10400
J12549041,TREE_48075,2005-05-14,2005-05-19,COMPLETE,S-CAN,24644924,35236,92,1388,0,34880
J12549043,TREE_48075,2005-04-02,2005-04-08,COMPLETE,S-CAN,24645042,35236,48,312,0,53040
J12549046,TREE_48075,2005-03-18,2005-03-20,COMPLETE,S-CAN,24648804,1824,116,1532,0,11448
J12549047,TREE_48075,2005-03-24,2005-03-25,COMPLETE,S-CAN,24648814,36268,132,844,0,39520
J12549056,TREE_48075,2005-05-15,2005-05-17,COMPLETE,S-CAN,24643520,26872,112,816,0,13104
J12549065,TREE_48075,2005-05-05,2005-05-12,COMPLETE,S-CAN,24826870,144488,32,1064,0,11040
J12549069,TREE_48075,2005-05-13,2005-05-20,COMPLETE,S-CAN,25002444,149724,64,1004,0,15640
J12549078,TREE_48075,2005-04-14,2005-04-15,COMPLETE,S-CAN,24799828,17492,4,900,0,93160
J12549092,TREE_48075,2005-03-23,2005-03-24,COMPLETE,S-CAN,24644412,35236,100,1412,0,63960
J12549099,TREE_48075,2005-08-06,2005-08-06,COMPLETE,S-CAN,25028796,26872,32,264,0,79320
J12549101,TREE_48075,2005-07-01,2005-07-01,COMPLETE,S-CAN,24825370,148148,56,1112,0,18960
J12549109,TREE_48075,2005-06-02,2005-06-08,COMPLETE,S-CAN,24826724,16948,76,1080,0,12876
J12549122,TREE_48075,2005-05-25,2005-05-25,COMPLETE,S-CAN,24465380,148608,12,1080,0,22040
J12549131,TREE_48075,2005-04-04,2005-04-05,COMPLETE,S-CAN,24647836,148416,28,556,0,94960
J12549132,TREE_48075,2005-06-09,2005-06-16,COMPLETE,S-CAN,24645780,22616,20,616,0,70040
J12549139,TREE_48075,2005-05-10,2005-05-11,COMPLETE,S-CAN,24642108,25900,132,124,0,10304
J12549141,TREE_48075,2005-05-12,2005-05-17,COMPLETE,S-CAN,24642120,144488,68,672,0,12172
J12549143,TREE_48075,2005-06-03,2005-06-04,COMPLETE,S-CAN,24643956,149088,12,920,0,15156
J12549146,TREE_48075,2005-06-18,2005-07-13,COMPLETE,S-CAN,25027904,18096,160,360,0,57560
J12549150,TREE_48075,2005-07-11,2005-07-16,COMPLETE,S-CAN,25002958,25900,104,580,0,29400
J12549159,TREE_48075,2005-07-11,2005-07-13,COMPLETE,S-CAN,24895178,33572,88,1064,0,50520
J12549166,TREE_48075,2005-05-22,2005-05-27,COMPLETE,S-CAN,24826900,6492,32,964,0,15692
J12549171,TREE_48075,2005-03-20,2005-03-22,COMPLETE,S-CAN,24642808,148112,80,544,0,44800
J12549179,TREE_48075,2005-05-17,2005-05-17,COMPLETE,S-CAN,24646520,147608,80,1148,0,96400
J12549182,TREE_48075,2005-06-23,2005-06-24,COMPLETE,S-CAN,24643996,9996,80,1468,0,27600
J12549217,TREE_48075,2005-02-18,2005-03-11,COMPLETE,S-CAN,24460630,200084,52,6968,0,20748
J12549224,TREE_48075,2005-06-10,2005-06-16,COMPLETE,S-CAN,24647380,27004,112,1008,0,74000
J12549239,TREE_48075,2005-06-03,2005-06-04,COMPLETE,S-CAN,24893500,9996,136,1392,0,14304
J12549240,TREE_48075,2005-05-06,2005-05-12,COMPLETE,S-CAN,24818470,146588,32,316,0,94680
