Customer ID,Parent Product,Claim Date,Documentation Date,Status,Claim Category,Claim Tracking Number,Vendor ID,Storage Fee,Insurance Amount,Holding Fee,Total Acquisition Cost
J12548682,TREE_48075,,,INCOMPLETE,,,,56,408,0,4000
J12548686,TREE_48075,,,INCOMPLETE,,,,88,128,0,18084
J12548688,TREE_48075,,,INCOMPLETE,,,,112,1016,0,92080
J12548694,TREE_48075,,,INCOMPLETE,,,,76,1016,0,25880
J12548695,TREE_48075,,,INCOMPLETE,,,,80,228,0,99360
J12548705,TREE_48075,,,INCOMPLETE,,,,132,1036,0,45400
J12548707,TREE_48075,,,INCOMPLETE,,,,28,460,0,98480
J12548716,TREE_48075,,,INCOMPLETE,,,,136,1084,0,77800
J12548728,TREE_48075,,,INCOMPLETE,,,,84,1384,0,12928
J12548729,TREE_48075,,,INCOMPLETE,,,,32,668,0,93560
J12548734,TREE_48075,,,INCOMPLETE,,,,12,1372,0,36800
J12548740,TREE_48075,,,INCOMPLETE,,,,120,1200,0,29200
J12548750,TREE_48075,,,INCOMPLETE,,,,4,352,0,41440
J12548751,TREE_48075,,,INCOMPLETE,,,,80,256,0,78840
J12548762,TREE_48075,,,INCOMPLETE,,,,44,1500,0,14044
J12548765,TREE_48075,,,INCOMPLETE,,,,56,1356,0,67800
J12548784,TREE_48075,,,INCOMPLETE,,,,32,248,0,28800
J12548791,TREE_48075,,,INCOMPLETE,,,,36,920,0,16200
J12548797,TREE_48075,,,INCOMPLETE,,,,24,7200,0,32632
J12548798,TREE_48075,,,INCOMPLETE,,,,88,420,0,15360
J12548814,TREE_48075,,,INCOMPLETE,,,,20,396,0,13524
J12548824,TREE_48075,,,INCOMPLETE,,,,76,456,0,51520
J12548833,TREE_48075,,,INCOMPLETE,,,,84,488,0,80400
J12548840,TREE_48075,,,INCOMPLETE,,,,24,580,0,50600
J12548855,TREE_48075,,,INCOMPLETE,,,,68,808,0,14956
J12548857,TREE_48075,,,INCOMPLETE,,,,104,64,0,27600
J12548886,TREE_48075,,,INCOMPLETE,,,,56,1028,0,97960
J12548888,TREE_48075,,,INCOMPLETE,,,,16,952,0,11088
J12548892,TREE_48075,,,INCOMPLETE,,,,64,988,0,79120
J12548899,TREE_48075,,,INCOMPLETE,,,,44,1276,0,11384
J12548904,TREE_48075,,,INCOMPLETE,,,,96,72,0,11392
J12548924,TREE_48075,,,INCOMPLETE,,,,72,724,0,13944
J12548926,TREE_48075,,,INCOMPLETE,,,,48,796,0,23200
J12548932,TREE_48075,,,INCOMPLETE,,,,20,132,0,94040
J12548938,TREE_48075,,,INCOMPLETE,,,,24,60,0,43160
J12548939,TREE_48075,,,INCOMPLETE,,,,16,280,0,14076
J12548942,TREE_48075,,,INCOMPLETE,,,,44,1416,0,14552
J12548958,TREE_48075,,,INCOMPLETE,,,,48,316,0,62760
J12548959,TREE_48075,,,INCOMPLETE,,,,84,888,0,82720
J12548960,TREE_48075,,,INCOMPLETE,,,,76,984,0,10708
J12548963,TREE_48075,,,INCOMPLETE,,,,24,512,0,15960
J12548980,TREE_48075,,,INCOMPLETE,,,,88,1308,0,96840
J12548998,TREE_48075,,,INCOMPLETE,,,,160,2392,0,41180
J12549005,TREE_48075,,,INCOMPLETE,,,,56,944,0,48000
J12549031,TREE_48075,,,INCOMPLETE,,,,104,552,0,72160
J12549042,TREE_48075,,,INCOMPLETE,,,,44,1368,0,80760
J12549049,TREE_48075,,,INCOMPLETE,,,,84,144,0,11200
J12549054,TREE_48075,,,INCOMPLETE,,,,24,1488,0,13440
J12549059,TREE_48075,,,INCOMPLETE,,,,20,432,0,58680
J12549072,TREE_48075,,,INCOMPLETE,,,,80,452,0,53800
J12549079,TREE_48075,,,INCOMPLETE,,,,68,60,0,18200
J12549090,TREE_48075,,,INCOMPLETE,,,,80,84,0,87840
J12549094,TREE_48075,,,INCOMPLETE,,,,52,208,0,10292
